コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,serious02,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"詰所の門まで行くと、1 人の男が
立っていた。",
draw,,一午,通常,パターン1,中央,膝上,,
send,,？？？,,,,,「あんたが酉助か?」,
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「そうだけど、幕府の役人が
わざわざ俺に会いに来るなんて、
どういうこと?」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「俺は一午(かずま)。
火付盗賊改方として、放火事件の
犯人を追っている」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「そこで、幕府から内々に[め組]に
頼みがあってきた」",
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「幕府から...。
りあえず、中で話を聞こうか」",
send,,,,,,,"そう言って、一午を広間へと
通した。",
fadein,2,,,,,,,
back,広間,,,,,,,
fadeout,2,,,,,,,
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「それで、俺たちに頼みって
言うのは?」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「近頃の火災が放火犯によるもの
だということは既に聞き及んでいる
だろうが」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「[め組]には消火活動の他に、
犯人の捜索にも協力して
もらいたい」",
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,驚,パターン1,右,膝上,「俺たちがあなたたちと？」,
draw,,酉助,驚,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「そうだ。火事の際は消火活動に
専念してもらって構わない」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「だが、平時はこちらへの協力と
情報提供をしてもらう」",
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「放火犯を捕まえる助力なら
こちらも喜んでしよう」",
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,「しかし、なぜ[め組]に？」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,「……」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,「あんたたちには話しておこう」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,怒,パターン1,左,膝上,"「放火犯は元め組の可能性が高い
ことが判明した」",
draw,,一午,怒,パターン1,左,膝上,,
send,,酉助,驚,パターン1,右,膝上,「なんだって…！？」,
draw,,酉助,驚,パターン1,右,膝上,,
send,,一午,怒,パターン1,左,膝上,"「まだ憶測の段階だが、こちらに
以前風の読める者がいただろう」",
draw,,一午,怒,パターン1,左,膝上,,
send,,酉助,汗,パターン1,右,膝上,「…ああ」,
draw,,酉助,汗,パターン1,右,膝上,,
send,,一午,怒,パターン1,左,膝上,"「俺は今その者の行方を追って
いる」",
draw,,一午,怒,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「その人が放火犯だと？
証拠は？」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,一午,哀,パターン1,左,膝上,「確固たる証拠はまだない」,
draw,,酉助,怒,パターン1,右,膝上,,
send,,一午,怒,パターン1,左,膝上,"「だが、その者が反幕府勢力と
手を組み、此度の事件を起こして
いると俺は踏んでいる」",
draw,,一午,怒,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,「……」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「その者が犯人だと認めたく
ないのであれば、容疑を晴らす
ためにも我々に強力しほい」",
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,「わかった。協力はする」,
draw,,一午,通常,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「ただし、幕府が掴んでいる情報も
こちらに提供してもらう」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,一午,喜,パターン1,左,膝上,「承知した」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,「では、俺はこれにて」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,一午,通常,パターン1,左,膝上,"「何かあれば奉行所まで訪ねて
くるといい」",
send,,,,,,,"そうして一午は詰所を
去って行った。",
send,,酉助,通常,パターン1,中央,膝上,「……」,
send,,酉助,汗,パターン1,中央,膝上,「風が読める人間が放火を…？」,
send,,酉助,汗,パターン1,中央,膝上,「丙治さん…まさか」,
sceneEnd,,,,,,,,
