コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,kinpaku02,,,,,,,
back,焼け跡（夜）,,,,,,,焼け跡（夜）
fadeout,6,,,,,,,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「辰己さん……！」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"呼び止めた沙夜を背中に隠し、
辰己は前に出た。",
send,,辰己,怒,パターン1,中央,膝上,"「おい待てお前ら！
何していやがる」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,男1,,,,,「まずい、逃げろ！」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,男2,,,,,「つけられたのか！？」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"一緒にいた男二人は一目散に
駆け出した。",
draw,,辰己,,パターン1,中央,膝上,,
send,,,,,,,"しかし、火を手に持った男は、
辰己の声にも振り向かない。",
send,,辰己,怒,パターン1,中央,膝上,「てめえ、今何しようとしてた」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,？？？,,,,,"「大きくなったな辰己
近くで見ると余計そう思うよ」",
draw,,辰己,怒,パターン1,中央,腰上,,
send,,,,,,,"そう告げる男の声は、
この場にそぐわぬ落ち着きであった。",
send,,辰己,驚,パターン1,中央,膝上,「……その声、まさか……」,
draw,,辰己,驚,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,,,,,,"辰己の言葉に応えるように、
男がゆっくりと振り返る。",
draw,,丙治,通常,パターン1,右,膝上,,
send,,辰己,驚,パターン1,左,膝上,"「……丙治さん……。
あんた、何やってんだ……？」",
draw,,辰己,驚,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,沙夜,,,,,"(ヘイジさん……？
辰己さんの、知り合いなの？)",
draw,,辰己,驚,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,,,,,,愕然とした辰己の声。,
draw,,辰己,驚,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,,,,,,"背後にいる沙夜に顔こそ
見えないものの、今の辰己の心境を
知るにはそれだけで十分だった。",
draw,,辰己,驚,パターン1,左,膝上,,
send,,丙治,喜,パターン1,右,膝上,「見てわからんか？」,
draw,,丙治,喜,パターン1,右,膝上,,
send,,辰己,汗,パターン1,左,膝上,"「……まさかとは思うが、
元め組の奴が火をつけたりは
しねえよな？」",
draw,,辰己,汗,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,沙夜,,,,,(元め組……！？　この人が……？),
draw,,辰己,汗,パターン1,左,膝上,,
draw,,丙治,通常,パターン1,右,膝上,,
send,,,,,,,"丙治と呼ばれたその男は、
手に持った提灯を地面に落とした。",
draw,,辰己,驚,パターン1,中央,膝上,,
send,,,,,,,"油が飛んで燃え盛る火を見て、
辰己が振り返る。",
send,,辰己,怒,パターン1,中央,膝上,"「おい沙夜。
みんなを呼んで来てくれ」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「は、はい……！」,
send,,,,,,,"沙夜は大きく頷いてみせると、
駆け出した。
背後から二人の声が聞こえてくる。",
send,,丙治,,,,,"「私は気づいたんだよ。
幕府がある限り、火消しでいても
大切なものは守れない」",
send,,辰己,,,,,「……反幕府派に毒されたか？」,
send,,丙治,,,,,"「この町はもう駄目だ。
……さあ、お前も来い」",
send,,沙夜,,,,,(え……！？),
send,,,,,,,"沙夜は聞こえて来たその声に、
思わず振り返る。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"足音にそれで気づいたのか、
辰己は丙治から視線をそらさずに
叫んだ",
send,,辰己,怒,パターン1,中央,膝上,「早く行け！」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「はい……！」,
send,,沙夜,,,,,"(辰己さんなら、大丈夫……。
絶対に……！)",
send,,,,,,,"沙夜は拳を握りなおし、
夜の町を駆けた。",
sceneEnd,,,,,,,,
