コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
back,町,,,,,,,,,
fadeout,1,,,,,,,,,
send,,,,,,,再び放火犯による火災が発生。,町,,
send,,,,,,,ここで犯人の正体が判明する。,町,,
send,,,,,,,"連続放火犯の犯人は元め組の
一員であり、辰己や酉助の先輩に
あたる人物であった。",町,,
send,,,,,,,"彼は沙夜と同じ風が読める力を
持っており、め組の中でも将来を
期待されている火消であった。",町,,
send,,,,,,,"しかしとある火災で妻子を失って
から彼は変わってしまった。",町,,
send,,,,,,,"悲しみのあまり自暴自棄になり
ついにめ組を抜けてしまったのだ。",町,,
send,,,,,,,犯人と対峙した辰己。,町,,
send,,辰己,怒,パターン1,中央,膝上,「なんであんたがこんなことを！」,町,,
send,,,,,,,問い詰める辰己に犯人は言い放つ。,町,,
draw,,辰己,怒,パターン1,中央,膝上,,町,,
send,,犯人,,パターン1,中央,膝上,"「火消でいても本当に大切なものは
守れない」",町,,
send,,,,,,,"犯人は再び姿を消したが、
この言葉は深く辰己の心を
突き刺した。",町,,
sceneEnd,,,,,,,,,,
