コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,焼け跡(昼),,,,,,
bgmPlay,nichijou02,,,,,,
fadeout,1,,,,,,
send,,源七,通常,パターン1,中央,膝上,"「おめえら！
消火が終わったら各自詰所に
戻ってくれ!!」"
send,,,,,,,"源七の指示で、それぞれ詰所へと
帰っていく火消たち。"
send,,,,,,,"その時、どこからか子供の泣く声が
聞こえてきた。"
send,,,,,,,"沙夜と辰己は声のする方へ向かうと
そこには一人の少年がいた。"
send,,はぐれた少年,,,,,「う…うえーん」
send,,沙夜,,,,,「どうしたの？」
send,,はぐれた少年,,,,,"「ひっく…
おっかぁがいねんだ…」"
send,,沙夜,,,,,「母様とはぐれちゃったの？」
send,,はぐれた少年,,,,,「うん…」
send,,辰己,通常,パターン1,中央,膝上,"「子供を探してるような人は
見当たらねえな」"
send,,辰己,喜,パターン1,中央,膝上,"「しょーがねえ…
一緒に居てやるから泣き止め」"
send,,辰己,喜,パターン1,中央,膝上,「な？」
send,,はぐれた少年,,,,,"「う、うん…
…おっかぁ！！」"
send,,,,,,,3人は少年の母親を探し始めた。
send,,沙夜,,,,,"「いつ母様と
はぐれてしまったか覚えてる？」"
send,,はぐれた少年,,,,,"「火事になって、走って逃げてたら
はぐれちまったんだ…」"
send,,辰己,通常,パターン1,中央,膝上,"「つうことは、はぐれてから
少し経っちまってんだな」"
send,,はぐれた少年,,,,,「おっかぁに会いたいよぉ」
send,,辰己,通常,パターン1,中央,膝上,"辰己は泣き叫ぶ子供を抱き上げ、
役所の方へ向かって歩き始めた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「辰己さん？
どこへ行かれるんですか？」"
send,,辰己,通常,パターン1,中央,膝上,"「俺らにはどうしよもねえだろ。
役所に連れてって役人にでも
任せておけば母親に会えるだろ」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…なるほど」
send,,辰己,通常,パターン1,中央,膝上,「先に詰所に戻っててもいいぞ？」
choice,3,,,,,,先に帰ってますね
choice,6,,,,,,私も行きます！
choice,4,,,,,,一人で大丈夫ですか？
send,,,,,,,
fadein,1,,,,,,
back,町並み,,,,,,
fadeout,1,,,,,,
send,,はぐれた少年,,,,,「兄ちゃん姉ちゃんありがと!!」
send,,,,,,,"役所の前に到着したふたりは、
役人に子供を預けた。"
send,,役人,,,,,"「この少年はこちらで預かる。
ご苦労であった」"
send,,役人,,,,,"「夜も更けてきた。
道中お気をつけて」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,はぐれた少年,,,,,「なあ兄ちゃん」
send,,辰己,通常,パターン1,中央,膝上,「あ？どうした」
draw,,辰己,通常,パターン1,中央,膝上,
send,,はぐれた少年,,,,,"「兄ちゃんと姉ちゃんは
恋人同士なのか？」"
send,,辰己,照,パターン1,中央,膝上,「ばっ!!ちげえよ…」
send,,はぐれた少年,,,,,「兄ちゃん顔赤いぞ！」
send,,辰己,怒,パターン1,中央,膝上,「うるせえ!!」
send,,はぐれた少年,,,,,"「姉ちゃんは兄ちゃんのこと
好きなのか？」"
send,,沙夜,,,,,"「え!?違うのよ。
お兄さんと私は同じ火消なのよ」"
send,,はぐれた少年,,,,,"「姉ちゃんも火消なのか!?
…じゃあ俺も将来火消になる!!」"
send,,辰己,喜,パターン1,中央,膝上,"「おっ、んじゃあ将来一緒に
仕事しような！」"
send,,はぐれた少年,,,,,"「うん!兄ちゃん、姉ちゃん！
今日はありがと!」"
send,,,,,,,"子供と別れ、ふたりは[め組]の
詰所へと帰った。"
fadein,1,,,,,,
bgmStop,,,,,,,
sceneEnd,,,,,,,
draw,先に帰ってますね,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「それじゃあ、先に帰りますね」
send,,辰己,通常,パターン1,中央,膝上,「おう、暗いから気を付けろよ」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…あの、辰己さん」
send,,辰己,怒,パターン1,中央,膝上,「あ？」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「帰り道はどっちですか…」
send,,辰己,汗,パターン1,中央,膝上,"「帰り道もわかんねえのかよ！
ったく…、おまえも一緒に来い」"
draw,,辰己,呆,パターン1,中央,膝上,
send,,沙夜,,,,,「はい…」
send,,,,,,,"辰己と沙夜は子供を連れて、
役所へと向かった。"
return,,,,,,,
draw,私も行きます！,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「いえ、私も一緒に行きます！」
send,,辰己,通常,パターン1,中央,膝上,「…そうか」
send,,辰己,通常,パターン1,中央,膝上,"「よし、早いうちに行くか。
もしかしたら先に役所に
来てるかもしれねえしな」"
draw,,辰己,通常,パターン1,中央,膝上,
