コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,nichijou01,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"め組の世話役になって数日が
経ったある日の昼下がり、沙夜は
外の掃除をしていた。",玄関（め組）
send,,,,,,,"すると一人の少女が沙夜を訪ねて
詰所へやってきた。",
send,,お菊,,パターン1,,,「沙夜!!」,
send,,,,,,,"声のする方を見ると、そこには親友
のお菊がいた。",
send,,沙夜,,パターン1,,,"「お菊ちゃん!!
久しぶりね、元気にしてた?」",
send,,お菊,,パターン1,,,"「えぇ、もちろん!沙夜が元気そう
安心したわ。」",
send,,沙夜,,パターン1,,,「心配かけてごめんなさい。」,
send,,お菊,,パターン1,,,"「私心配だったのよ。あなたが急に
め組で世話役だなんて...」",
send,,沙夜,,パターン1,,,"「みんな優しく接してくれるの。
それにやりがいあって楽しいのよ。」",
send,,お菊,,パターン1,,,"「それなら安心ね。
でも本当に無理しないでね?」",
send,,沙夜,,パターン1,,,"「ありがとう。
不安なことばかりだったけど、私も
め組の一員だからね!!」",
send,,お菊,,パターン1,,,「頼もしいわね、沙夜は...」,
send,,お菊,,パターン1,,,「それより...」,
send,,沙夜,,パターン1,,,「??」,
send,,お菊,,パターン1,,,"「め組といえば火消の中でも美男子
が多いって有名じゃない!」",
send,,沙夜,,パターン1,,,「え?」,
send,,お菊,,パターン1,,,"「特に辰己さん!
男前で堂々と纏を掲げる姿は町中の
女性にはたまらないわ...」",
send,,沙夜,,パターン1,,,「え？辰己さん...?」,
send,,お菊,,パターン1,,,"「え、何なに?もしかして、
辰己さんとお近づきに...!?」",
send,,沙夜,,パターン1,,,"「そんなわけないでしょ!!
実は...」",
send,,,,,,,"詰所に来た日のことをお菊に
話始めた沙夜。",
send,,,,,,,"辰己に認めてもらえるように日々
仕事に励む沙夜。",
send,,,,,,,"しかしまだ辰己は沙夜を認めずに
いた。",
send,,お菊,,パターン1,,,"「そんな厳しいこと言われちゃった
のね...。」",
send,,お菊,,パターン1,,,"「でも、沙夜は頑張ってるんだから
自信もって!!」",
send,,沙夜,,パターン1,,,「うん、お菊ちゃんありがとう」,
send,,お菊,,パターン1,,,"「うーん、私的にはもっと沙夜が
美男子とお近づきになっててくれた
方が面白かったんだけどなぁ...」",
send,,沙夜,,パターン1,,,「お、お菊ちゃん??」,
send,,お菊,,パターン1,,,"「そうだ、沙夜にいいこと教えて
あげるわね。」",
send,,,,,,,"そう笑顔で沙夜に話しをすると満足
そうにお菊は帰っていった。",
send,,,,,,,沙夜は再び仕事を始めた。,
bgmstop,,,,,,,,
send,,沙夜,,パターン1,,,"しかし、その手を止めるように辰己
が沙夜に声をかけてきた。",
send,,辰己,,パターン1,中央,膝上,"「仕事中に話すとは、世話役は
そんなに暇なのか？",
send,,沙夜,,パターン1,,,「うっ...」,
bgmplay,nichijou03,,,,,,,
draw,,辰己,通常,パターン1,左,膝上,,
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,,,,,,"振り向いた先には辰己と卯太郎が
立っていた。",
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,通常,パターン1,右,膝上,"「別にいいだろ？沙夜は
オレたちのために一生懸命働いて
くれてるんだし」",
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,"「うたは甘すぎんだよ。
第一、 火消に女は必要ない。」",
draw,,辰己,,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「またそんなこと言って...。
酉助さんも言ってたけど、今の辰己
の印象最悪だよ?」",
draw,,卯太郎,怒,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,「うっせえな、関係ねえだろ」,
send,,卯太郎,呆,パターン1,中央,膝上,"「はあ...。
辰己はほっといて...。」",
send,,卯太郎,喜,パターン1,中央,膝上,「なあ！今なんの話してたんだ?」,
send,,,,,,,"卯太郎は興味あるといわんばかりに
聞いてきた。",
draw,,卯太郎,喜,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「えっと、“永遠の丘”ってご存知で
すか?」",
send,,卯太郎,呆,パターン1,中央,膝上,"「永遠の丘...?
う~ん、聞いたことないな」",
draw,,卯太郎,呆,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「その場所で愛を誓い合った男女は
永遠に結ばれるそうなんです。」",
draw,,卯太郎,通常,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「いつか私もそういう場所にお慕い
する方と行ってみたいです。」",
send,,卯太郎,喜,パターン1,中央,膝上,「女の子ってそういうの好きだよね」,
draw,,卯太郎,喜,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,「くだらねえ」,
draw,,辰己,呆,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,「また辰己はそういうことを...」,
send,,辰己,怒,パターン1,中央,膝上,"「そんなもんあるわけねだろ。
永遠だあ?ふざけんな。」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「本当かもしれないじゃない
ですか!」",
send,,辰己,怒,パターン1,中央,膝上,"「あるわけねえだろ、んなもん!
誰か永遠に愛し合ったやつでも
いんのか?」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,「そ、それは...」,
send,,辰己,通常,パターン1,中央,膝上,「ほら、いねえじゃねえかよ。」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「私が証明します!!
そうしたら信じてくれますよね?」",
send,,辰己,驚,パターン1,中央,膝上,"「は?おまえが?
何言ってんだよ、頭までおかしく
なっちまったのか?」",
draw,,辰己,驚,パターン1,中央,膝上,,
send,,沙夜,,パターン1,,,"「もう、いいです!!
失礼します」",
fadein,4,,,,,,,
back,黒,,,,,,,
fadeout,4,,,,,,,
send,,,,,,,"何を言っても反発してくる辰己の
態度に耐え切れず、その場を
立ち去ってしまった。",
sceneEnd,,,,,,,,
