コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
fadein,1,,,,,,
back,広間,,,,,,
bgmPlay,serious01,,,,,,
fadeout,3,,,,,,
send,,,,,,,あれから1週間がたったある日。
send,,,,,,,"いつものように朝食の準備をする
ため、台所へ向かっていた沙夜。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"すると、辰己が出かけようと
している姿を目撃した。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"沙夜は思わず声をかけて辰
己を呼び止めた。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「辰己さん!!」
draw,,辰己,驚,パターン1,中央,膝上,
send,,,,,,,"沙夜に呼ばれ
驚いた様子で振り返った辰己は、
元気のない表情をしていた。"
send,,辰己,哀,パターン1,中央,膝上,「朝っぱらから大声を出すな」
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"「すみません…。
辰己さん出かけるんですか？」"
send,,辰己,,パターン1,中央,膝上,「あぁ、非番だからな」
draw,,辰己,,パターン1,中央,膝上,
send,,沙夜,,,,,"「朝食を食べてからでは
だめなんですか？」"
send,,辰己,,パターン1,中央,膝上,"「…だめってわけでもねえけど、
人が少ない朝に行きてえんだ」"
send,,辰己,,パターン1,中央,膝上,「わりいな」
send,,,,,,,沙夜に背を向けて歩き出した辰己。
send,,,,,,,"すると、沙夜の後ろから
卯太郎の声が聞こえた。"
send,,卯太郎,通常,パターン1,中央,膝上,「沙夜」
send,,卯太郎,喜,パターン1,中央,膝上,"「朝食はオレに任せて。
辰己の後追ってこいよ」"
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「うた…
ありがとう！」"
send,,,,,,,"卯太郎に朝食の準備を任せ、
沙夜は辰己の後を追った。"
send,,沙夜,,,,,「辰己さん!!」
send,,辰己,通常,パターン1,中央,膝上,"「またおまえか…。
今度はなんだ？」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「私もついて行っていいですか？」
send,,辰己,哀,パターン1,中央,膝上,「…勝手にしろ」
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"そうして辰己と沙夜は
ある場所へ向かって歩き出した。"
fadein,3,,,,,,
back,町並み,,,,,,
fadeout,3,,,,,,
send,,,,,,,到着したのは、とある広小路。
send,,辰己,哀,パターン1,中央,膝上,「ここは俺の生まれた場所なんだ」
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「辰己さんの生まれた場所…」
send,,辰己,哀,パターン1,中央,膝上,"「元は家があったんだけどよ、
火事でなくなっちまった」"
send,,辰己,哀,パターン1,中央,膝上,"「俺の両親は絵師だった。
昔から、仕事を見てたもんで
絵がそれなりに描けんだ」"
send,,辰己,哀,パターン1,中央,膝上,"「あんときは何も考えずに
平和に暮らしてたんだが、
俺が 9 歳のときだったか…」"
send,,辰己,哀,パターン1,中央,膝上,"「どっかの盗人が証拠隠滅のために
家に火をつけたんだ」"
send,,辰己,哀,パターン1,中央,膝上,"「夜中だったし、みんな寝てた。
両親の声がして目が覚めたんだ」"
send,,辰己,哀,パターン1,中央,膝上," 「でも、俺が見た両親は
いつもの姿じゃなかった」"
send,,辰己,哀,パターン1,中央,膝上,"「ふたりは火傷してる上に
家具の下敷きになっていて、
とても助けられなかった」"
send,,辰己,哀,パターン1,中央,膝上,"「親父が俺に
“おまえは生きるんだ”
って叫んでな…」"
send,,辰己,哀,パターン1,中央,膝上,「がむしゃらに外に出たんだ」
send,,辰己,哀,パターン1,中央,膝上,"「気付いたときには
火傷だらけで外に倒れてた」"
send,,辰己,哀,パターン1,中央,膝上,"「それで壬さんに拾われて、
それからは[め組]で世話に
なってたんだ」"
send,,辰己,哀,パターン1,中央,膝上,"「そんな、行く当てもねえ俺を
壬さんが[め組]に誘ったんだ」"
send,,辰己,汗,パターン1,中央,膝上,"「おめえの親父さんには
感謝してもしきれねえ」"
send,,辰己,通常,パターン1,中央,膝上,"「おめえに初めに言った言葉
覚えてるか？」"
send,,辰己,哀,パターン1,中央,膝上,「“火消に女はいらねえ”って」
send,,辰己,哀,パターン1,中央,膝上,"「最初は、壬さんの娘だからって
ここに置くのに反対だったんだ」"
send,,辰己,哀,パターン1,中央,膝上,"「女のおまえを火事現場に
連れてくのも嫌だったし、
おまえ体丈夫じゃなさそうだしよ」"
send,,辰己,哀,パターン1,中央,膝上,"「火事で俺の知ってるやつが
傷つくのはもう見たくねえんだ」"
send,,辰己,照,パターン1,中央,膝上,"「それに…今は思ってねえ。
おまえは頑張ってる」"
send,,辰己,喜,パターン1,中央,膝上,"「[め組]のみんなも、前より
活気があるしな」"
send,,辰己,喜,パターン1,中央,膝上,"「おまえのおかげだ。
ありがとな」"
draw,,辰己,喜,パターン1,中央,腰上,
send,,,,,,,"そう言って沙夜の頭を
くしゃくしゃと撫でた。"
send,,,,,,,"沙夜は、出会ったばかりの頃の
辰己を思い出していた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「もう過去のことです。
気にしないでください！！」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"「辰己さんのこと、
全然知らなかったですし」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,," 「私、それで頑張って辰己さんに
認めてもらおうと思えたんです」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"「私が頑張れたのも
辰己さんのおかげです！！」"
send,,辰己,呆,パターン1,中央,膝上,「おまえ人が良すぎるぞ」
send,,辰己,汗,パターン1,中央,膝上,「本当に、壬さんそっくりだ…」
send,,辰己,通常,パターン1,中央,膝上,「壬さんにも話したことあるんだが
send,,辰己,通常,パターン1,中央,膝上,"俺が火消になったのは、
壬さんへの恩返しのためだ」"
send,,辰己,哀,パターン1,中央,膝上," 「それと…
俺から家族を奪った犯人への
…憎しみだ」"
send,,辰己,通常,パターン1,中央,膝上,"「この前の、母親とはぐれた子。
あの子みたいなのが増えないために
火消しになったんだ」"
send,,辰己,汗,パターン1,中央,膝上," 「今じゃ纏持ちなんて花形に
なっちまってるが、
気持ちは何も変わってねえ」"
send,,辰己,通常,パターン1,中央,膝上,"「これからも[め組]の一員として
頑張っていこうと思ってる」"
send,,辰己,喜,パターン1,中央,膝上,「おまえと一緒にな」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…」
send,,辰己,驚,パターン1,中央,膝上,"「…っておい、なんでおまえが
泣くんだよ」"
draw,,辰己,驚,パターン1,中央,膝上,
send,,沙夜,,,,,"「なんだか、安心してしまって…。
辰己さんに認めてもらえたことが
嬉しいのかもしれません」"
send,,辰己,汗,パターン1,中央,膝上,"「わかったわかった。
もういいから、とりあえず落ち着け」"
draw,,辰己,哀,パターン1,中央,腰上,
