コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
send,,,通常,制服,中央,膝上,"酉助に頼まれてやってきたのは、
町火消や組の詰所。
",町,,
send,,,通常,私服,中央,膝上,"や組の頭領に宛てた文を届けて
ほしいとのことであった。",町,,
send,,,,,,,"や組で出会ったのは、や組の纏持ち
で酉助の親友だという寅之助。",町,,
send,,寅之介,,,,,"「君が沙夜ちゃんだね。聞いていた
通り可愛いね！」",町,,
send,,寅之介,通常,制服,中央,膝上,"「あ！俺は寅之助！や組の火消で
一応纏持ちやってます！
よろしくね！」",町,,
send,,,通常,制服,左,腰上,"寅之助は2人を歓迎し、中でお茶
でもどうぞと誘うが、辰己は用事が
済んだらすぐに帰るという。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"そこへ近所の子どもたちがやって
きて辰己を取り囲む。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,子ども1,,,,,「辰兄だー！遊んでー！」,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,子ども2,,,,,「辰兄！また絵を描いて！！」,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"観念した辰己は子どもたちに絵を
描き始める。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,子ども3,,,,,「辰兄！うさぎさん描いて！」,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,子ども4,,,,,「えー！ぼくはクマがいい！」,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,言い合う子どもたちに辰己は,町,,
send,,辰己,怒,制服,中央,膝上,"「おら！喧嘩すんな！順番に描いて
やるから待ってろ！」",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"辰己の意外な一面を見た沙夜は、
辰己は本当は優しい人なのかも
しれないと思い始める。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"使いからの帰り道、町人同士の喧嘩
に巻込まれる2人。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"江戸っ子の辰巳は喧嘩に乗り込んで
いくが、沙夜が止めに入って喧嘩を
一喝。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"町の人々も沙夜に味方し喧嘩は
収まる。",町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,"喧嘩に臆することなく止めに入った
沙夜を見直す辰己。",町,,
send,,辰己,喜,制服,中央,膝上,「お前、意外と度胸あるんだな」,町,,
draw,,辰己,喜,制服,中央,膝上,,町,,
send,,,,,,,"いがみ合っていた2人の距離が
ぐっと近づいた。",町,,
sceneEnd,minigame,,,,,,,,,
