コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
bgmPlay,nichijou01,,,,,,
back,広間,,,,,,
fadeout,1,,,,,,
send,,,,,,,"酉助の意識が戻り、
詰所内は安堵の声で溢れた。"
send,,,,,,,"酉助に後遺症はなく、
無事に仕事へと復帰していた。"
fadein,2,,,,,,
back,町並み,,,,,,
fadeout,2,,,,,,
send,,,,,,,"酉助が復帰してから数日後、
沙夜と酉助は二人で町に出ていた。"
send,,酉助,通常,パターン1,中央,膝上,「今日は何の用事？」
draw,,酉助,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「食材の買い出しです！」
send,,酉助,喜,パターン1,中央,膝上,"「組のものに使いを頼んでも
いいんだよ？」"
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,"「みなさんお仕事中ですし、
私にできることはやりたいんです」"
send,,酉助,哀,パターン1,中央,膝上,"「何度もいうけど、
あまり無理はしないようにね」"
draw,,酉助,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「酉助さんもですよ！」
send,,酉助,驚,パターン1,中央,膝上,「え、俺かい？」
draw,,酉助,驚,パターン1,中央,膝上,
send,,沙夜,,,,,「頭痛とかはないですか？」
send,,酉助,喜,パターン1,中央,膝上,"「うん。大丈夫だよ。
本当に君が居てくれてよかった」"
send,,酉助,喜,パターン1,中央,膝上,「ありがとう」
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「お力になれてよかったです」
draw,,酉助,通常,パターン1,中央,膝上,
send,,,,,,,"楽しそうに話をしていると、
町娘たちが割り込んできた。"
draw,,酉助,通常,パターン1,中央,膝上,
send,,町娘Ａ,,,,,「酉助さ～ん！」
draw,,酉助,通常,パターン1,中央,膝上,
send,,町娘Ｂ,,,,,「酉助さん。今日も素敵ですわ」
draw,,酉助,通常,パターン1,中央,膝上,
send,,町娘C,,,,,"「このあとお時間ありますか？
よろしければご一緒に…」"
draw,,酉助,汗,パターン1,中央,膝上,
send,,町娘A,,,,,「いいえ！私と一緒に！」
draw,,酉助,汗,パターン1,中央,膝上,
send,,町娘B,,,,,"「ちょっと！私が酉助さんと
一緒に居るんですのよ！」"
draw,,酉助,汗,パターン1,中央,膝上,
send,,沙夜,,,,,"（また声を掛けられてる…。
酉助さんは人気者だなぁ）"
draw,,酉助,汗,パターン1,中央,膝上,
send,,,,,,,"酉助を囲む町娘を見て、
沙夜は静かに距離を取った。"
send,,酉助,通常,パターン1,中央,膝上,「ごめんね。まだ仕事中なんだ」
draw,,酉助,通常,パターン1,中央,膝上,
send,,町娘A,,,,,"「ひどいわ酉助さん！
この前もそうだったじゃない！」"
draw,,酉助,通常,パターン1,中央,膝上,
send,,町娘C,,,,,「さっき一緒にいたのは誰なの？」
send,,酉助,喜,パターン1,中央,膝上,「あの子は[め組]の一員だよ」
draw,,酉助,喜,パターン1,中央,膝上,
send,,町娘A,,,,,"「どうして女の子が
[め組]に居るのよ！」"
send,,酉助,通常,パターン1,中央,膝上,"「いろいろとあるんだ。
また今度ね」"
send,,,,,,,"少し離れた場所から見ていると、
一人の男が声をかけてきた。"
draw,,寅之介,喜,パターン1,中央,膝上,
send,,???,,,,,「きみ、一人で何してるの？」
draw,,寅之介,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「きゃっ！何ですか急に」
draw,,寅之介,通常,パターン1,中央,膝上,
send,,???,,,,,"「ごめんね。
さっきから一人でいるからさ」"
draw,,寅之介,喜,パターン1,中央,膝上,
send,,???,,,,,「俺と楽しいことしようよ！」
draw,,寅之介,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「遠慮しておきます…」
draw,,寅之介,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"（酉助さん、
早く終わらないかな…）"
draw,,寅之介,喜,パターン1,中央,膝上,
send,,???,,,,,「ね？いこ！」
draw,,寅之介,驚,パターン1,中央,膝上,
send,,沙夜,,,,,「うわぁっ！」
draw,,寅之介,驚,パターン1,中央,膝上,
send,,,,,,,"突然腕を掴まれたことで、
バランスを崩し転びそうになる。"
draw,,寅之介,通常,パターン1,左,膝上,
send,,酉助,驚,パターン1,右,腰上,"「大丈夫？
どこか痛いところない？」"
sceneEnd,,,,,,,
