コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
bgmPlay,nichijou01,,,,,,
back,町並み,,,,,,
fadeout,1,,,,,,
send,,,,,,,"ある日の朝、酉助に頼まれ
【や組】の詰所へ行くことになった
辰己と沙夜。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"道中ふたりに会話はなく、
無言で歩き続けていた。"
send,,辰己,通常,パターン1,中央,膝上,「……」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「……」
send,,辰己,通常,パターン1,中央,膝上,"「…なんで俺がおまえと[や組]に
行かなきゃなんねんだよ…」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「酉助さんの頼みなんですから
仕方ないじゃないですか。
文句言わないでくださいよ」"
send,,辰己,通常,パターン1,中央,膝上,"「うっせえ！
さっさと文渡して帰んぞ」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"そう言うと、
足早に[や組の]詰所へ向かった。"
fadein,1,,,,,,
back,玄関(や組),,,,,,
fadeout,3,,,,,,
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"辰己と沙夜が[や組]の詰所に
到着すると、一人の男がこちらへ
向かってきた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"その男は親し気な様子で、
辰己に声をかけてきた。"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,驚,パターン1,右,膝上,
send,,???,,,,,"「おお、辰己じゃねえか！
こんな早くからどうしたんだ？」"
draw,,寅之介,驚,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,"「酉助さんから文を預かって
きたんだけどよ、頭領いるか？」"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,通常,パターン1,右,膝上,
send,,???,,,,,"「頭領なら今現場に出てるぜ。
俺が預かってやろうか？」"
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,"「それは助かる。じゃあ、頼んだ。
俺はかえ…」"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,喜,パターン1,右,膝上,
send,,???,,,,,"「おっと！
そう簡単に帰すわけねえだろ!!」"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,喜,パターン1,右,膝上,
send,,???,,,,,"「まず、その隣にいるかわいい子は
一体なんだ!?」"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,喜,パターン1,右,膝上,
send,,???,,,,,"「おまえに恋人ができるとは
思えねえ。さては妹か!?」"
draw,,寅之介,喜,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「ちげえよ！
俺に身内がいねえの知ってんだろ。
ついでに、恋人でもねえよ」"
draw,,辰己,通常,パターン1,左,膝上,
draw,,寅之介,通常,パターン1,右,膝上,
send,,,,,,,"「わりいわりい、冗談だから
そんな怒った顔すんなって」"
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,「…」
draw,,寅之介,通常,パターン1,中央,膝上,
send,,???,,,,,「んで、君の名前は？」
draw,,寅之介,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「沙夜と申します」
,,寅之介,喜,パターン1,中央,膝上,
send,,???,,,,,「沙夜ちゃんか、可愛い名前だね」
send,,寅之介,通常,パターン1,中央,膝上,"「俺は寅之介。[や組]の纏持ちだ。
よろしくな」"
draw,,寅之介,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「よろしくお願いします…」
send,,寅之介,通常,パターン1,中央,膝上,"「確かに酉助の言う通り、
かわいい子だな」"
send,,寅之介,通常,パターン1,中央,膝上,「どうだ、[め組]での生活は？」
draw,,寅之介,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「だいぶ慣れてきました」
send,,寅之介,喜,パターン1,中央,膝上,"「そっかそっか！
もしも[め組]の男に疲れたら、
[や組]に来いよな!!」"
send,,寅之介,喜,パターン1,中央,膝上,「歓迎してやるからよ!!」
draw,,寅之介,喜,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,「こいつはやらねえよ！」
draw,,辰己,通常,パターン1,左,膝上,
send,,寅之介,通常,パターン1,右,膝上,"「お？どうした辰己。
この子を奪われるのがそんなに
嫌なのか？」"
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,「ちげえよ!!」
draw,,辰己,通常,パターン1,左,膝上,
send,,寅之介,喜,パターン1,右,膝上,"「冗談だよ。奪ったりしねえから、
そんなに怒るなって」"
draw,,寅之介,喜,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「とりあえず、文は渡したからな！
頭領にしっかり渡せよ！」"
draw,,辰己,通常,パターン1,左,膝上,
send,,寅之介,通常,パターン1,右,膝上,「…なあ、辰己？」
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,「なんだよ」
draw,,辰己,通常,パターン1,左,膝上,
send,,寅之介,通常,パターン1,右,膝上,"「これ本当に頭領にって
言われたのか？」"
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,汗,パターン1,左,膝上,"「あ？…そういえば、酉助さんは
寅に渡せって言ってたな」"
draw,,辰己,汗,パターン1,左,膝上, 
send,,寅之介,通常,パターン1,右,膝上,"「しっかり宛名見ろよ？
寅之介って書いてあるぞ」"
draw,,寅之介,通常,パターン1,右,膝上,
send,,辰己,驚,パターン1,左,膝上,「な!?」
draw,,辰己,照,パターン1,左,膝上,
send,,寅之介,通常,パターン1,右,膝上,「ま、受け取ったって伝えてくれ」
send,,,,,,,"寅之助あての文を、
頭領あてだと思い込んでいた辰己"
send,,,,,,,それを面白がって茶化す寅之介。
send,,,,,,,"寅之介との会話で、斬新な姿の
辰巳を見ることが出来た沙夜。"
send,,,,,,,"沙夜は辰己のことが少しずつ
分かり始めた気がしていた。"
send,,寅之介,喜,パターン1,中央,膝上,"「じゃあ気を付けて帰れよー。
あ、沙夜ちゃんまた遊びにおいで」"
send,,,,,,,"寅之助はひらひらと手を振りながら
詰所へと戻っていった。"
send,,,,,,,"機嫌の悪い辰己は、沙夜を置いて
先に歩き出してしまった。"
fadein,1,,,,,,
back,町並み,,,,,,
fadeout,1,,,,,,
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「辰己さん待ってくださいよ!」
send,,辰己,通常,パターン1,中央,膝上,"「おめえがちんたら歩いてんのが
わりいだろ！」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「そんなに遅く歩いてません！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,歩きながら口論になるふたり。
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,どこからか、元気な声が聞こえた。
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,「辰兄だー！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"その声がまわりに響き、
町で遊んでいた子供たちが
辰己の元へ集まってきた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,「なあ辰兄！遊ぼうぜ!!」
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,「辰兄！またお絵かきして!!」
draw,,辰己,通常,パターン1,中央,膝上,
send,,少女,,,,,「私うさぎさん描いてほしい！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,「ぼくはクマがいい！」
draw,,辰己,通常,パターン1,中央,膝上, 
send,,少年,,,,,"「ずるい～!!
ぼくが最初に描いてもらうの!!」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"子供たちは辰己を囲み、
絵を描くようにねだり始めた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"そんな状況に、
沙夜は驚きを隠せずにいた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"子どもたちの喧嘩は収まらない。
辰己は慣れた口調で、
子どもたちの相手をし始めた。"
send,,辰己,喜,パターン1,中央,膝上,"「おら、喧嘩すんな！
順番に描いてやっから」"
draw,,辰己,喜,パターン1,中央,膝上,
