コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,nichijou02,,,,,,,
back,町並み,,,,,,,
send,,,,,,,連続放火事件を解決して数日。,
send,,,,,,,"江戸の町は以前のような平和を
取り戻していた。",
fadein,1,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"そんなある日、[め組]の詰所では
辰己が沙夜を探していた。",
fadein,1,,,,,,,
back,台所,,,,,,,
fadeout,1,,,,,,,
send,,辰己,通常,パターン1,中央,膝上,「ここにもいねぇ…」,
send,,辰己,汗,パターン1,中央,膝上,「あいつどこ行ったんだ？」,
fadein,1,,,,,,,
back,広間,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"広間へやってくると酉助、卯太郎、
そして一午の姿があった。",
draw,,一午,通常,パターン1,右,膝上,,
send,,辰己,驚,パターン1,左,膝上,"「あ？なんでお前がここに
いるんだ？」",
draw,,辰己,驚,パターン1,左,膝上,,
send,,一午,通常,パターン1,右,膝上,"「火付けの一件で、[め組]には
世話になった。その礼を言いに
来た」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,一午,通常,パターン1,右,膝上,"「特にあんたには世話になった。
此度の件、感謝している」",
draw,,一午,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「別にお前らのためにやったわけじゃ
ねぇ。火消として当然のことを
したまでだ」",
draw,,辰己,通常,パターン1,左,膝上,,
draw,,一午,喜,パターン1,右,膝上,,
send,,,,,,,"その言葉に一午はかすかに表情を
緩める。",
draw,,辰己,通常,パターン1,左,膝上,,
send,,一午,通常,パターン1,右,膝上,"「それともう一つ。罪人は奉行所
預かりとなった。近く裁きが下される
だろう。",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,「・・・」,
draw,,辰己,哀,パターン1,左,膝上,,
send,,酉助,哀,パターン1,右,膝上,"「…そうか。仮にも元火消だ。
罪の重さ自分がよくわかっている
だろうね」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,通常,パターン1,右,膝上,"「オレはあの人のことよく知らないけど
2人はそれでいいのか？」",
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,"「どんな理由であれ、丙治さんの
したことは許されねぇ」",
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,「あの人は罪を償うべきだ」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,呆,パターン1,右,膝上,「…そうだよな」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「ここから先は役人の仕事だ。
後は』奉行所に任せよう」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「ところで、辰己は何か用があって
来たんじゃないのかい？",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「ああ、そうだ。
なあ、沙夜を見なかったか？」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「沙夜ちゃん？彼女ならお使いを
頼まれて町まで出ているよ」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「もう少しで帰ってくるんじゃ
ないかな？」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,「そっか。わかった、ありがとな」,
send,,,,,,,"そう言って玄関へ向かおうとする
辰己",
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,驚,パターン1,右,膝上,「あれ？待たないのか？」,
draw,,卯太郎,驚,,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「迎えに行く。あいつは放っておくと
厄介事に巻き込まれるからな。",
send,,,,,,,"そう言って辰己は足早に去って
いった。",
draw,,卯太郎,驚,パターン1,左,膝上,,
draw,,一午,驚,パターン1,右,膝上,,
send,,,,,,,辰己の行動に驚く卯太郎と一午。,
draw,,一午,驚,パターン1,右,膝上,,
send,,卯太郎,驚,パターン1,左,膝上,"「あいつが自分から迎えに行く
なんて…」",
draw,,卯太郎,驚,パターン1,左,膝上,,
send,,一午,驚,パターン1,右,膝上,"「意外だな。献身的には
見えなかったが…」",
send,,酉助,喜,パターン1,中央,膝上,「あいつも変わったってことだよ」,
send,,,,,,,"辰己が去っていった先を3人は
温かく見守っていた。",
fadein,1,,,,,,,
back,町並み,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,,
bgmstop,,,,,,,,
bgmplay,nichijou03,,,,,,,
send,,沙夜,,,,,"「お使いも無事済んだし、早く詰所に
戻らないと」",
send,,,,,,,沙夜は詰所への帰路を急いでいた。,
send,,酔っ払い１,,,,,"「そこのお嬢さん1人？
ちょっと俺らにお酌してくれない
かな～？」",
send,,,,,,,"昼間から酔っている男たちに
絡まれてしまった。",
send,,酔っ払い２,,,,,"「君よく見たらべっぴんさんだね
俺たち男だけでつまんないんだよ」",
send,,沙夜,,,,,"「あ、あの、すみません。
急いでいるので」",
send,,酔っ払い３,,,,,"「そんなつれないこと言わないで
俺たちと遊んでいこうぜ？」",
send,,沙夜,,,,,（困ったな…どうしよう）,
send,,,,,,,"強引に沙夜の手を掴んで連れて
行こうとする男たち",
send,,,,,,,そこへ,
send,,辰己,怒,パターン1,中央,膝上,「てめぇら！何してやがんだ！」,
sceneEnd,,,,,,,,
