コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,川,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"放火事件から時は経ち、季節は春に
なっていた。",
send,,,,,,,"詰所の裏の小川には桜が咲き、
[め組]では宴が催されていた。",
send,,卯太郎,喜,パターン1,中央,膝上,「今年も見事に咲いたな!」,
draw,,卯太郎,喜,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,「うた、はしゃぎすぎだろ」,
draw,,辰己,呆,パターン1,左,膝上,,
send,,卯太郎,照,パターン1,右,膝上,"「せっかくの宴だ!楽しまなきゃ
もったいないだろ！」",
draw,,卯太郎,照,パターン1,右,膝上,,
send,,辰己,喜,パターン1,左,膝上,「ま、それもそうだな」,
send,,沙夜,,,,,「みなさん楽しそうですね」,
send,,酉助,通常,パターン1,中央,膝上,「恒例行事みたいなもんだからね」,
send,,酉助,喜,パターン1,中央,膝上,「今年はおいしい食事付だし」,
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,「喜んでもらえて嬉しいです」,
send,,酉助,哀,パターン1,中央,膝上,"「俺も手伝えたら
よかったんだけど…」",
draw,,酉助,哀,パターン1,中央,膝上,,
send,,沙夜,,,,,"「お仕事あったんですから、
仕方ないですよ」",
draw,,酉助,哀,パターン1,中央,膝上,,
send,,沙夜,,,,,"「うたくんが手伝ってくれたので
助かりました」",
send,,酉助,呆,パターン1,中央,膝上,"「早く終わらせて手伝いに行こうと
思ってたのに、辰己に邪魔を
されてね」",
draw,,酉助,呆,パターン1,中央,膝上,,
send,,沙夜,,,,,「ふふっ」,
draw,,酉助,呆,パターン1,中央,膝上,,
send,,沙夜,,,,,"（酉助さんがこんな顔をするなんて
珍しい）",
send,,酉助,喜,パターン1,中央,膝上,"「あとで部屋に来てほしい。
君と2人で過ごしたい..」",
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「片付け終わったら
すぐ行きますね」",
send,,酉助,喜,パターン1,中央,膝上,「...すぐにでも抜け出したいくらい」,
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「酉助さん、もしかして
酔ってますか？」",
send,,酉助,照,パターン1,中央,膝上,「全然」,
draw,,酉助,照,パターン1,中央,膝上,,
send,,,,,,,"否定する酉助だが、頬が紅く
染まっている。",
draw,,酉助,通常,パターン1,左,膝上,,
send,,源七,喜,パターン1,右,膝上,"「酉助、もっと飲め!
明日はおまえの誕生日だろ!?」",
draw,,酉助,通常,パターン1,左,膝上,,
send,,源七,喜,パターン1,右,膝上,「今日はそれも兼ねての宴だ!」,
draw,,源七,喜,パターン1,右,膝上,,
send,,酉助,呆,パターン1,左,膝上,「飲んでるって...」,
draw,,酉助,呆,パターン1,左,膝上,,
send,,源七,喜,パターン1,右,膝上,"「沙夜が面倒みてくれるだろうから、
たくさん飲めよ!」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"お酒の入った瓶を酉助の前に置き、
源七は辰己と卯太郎のところへ
行ってしまった。",
send,,酉助,通常,パターン1,中央,膝上,「...」,
sceneEnd,,,,,,,,
