コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou02,,,,,,,
back,町並み,,,,,,,
fadeout,3,,,,,,,
send,,,,,,,夕飯の買い物に出た帰り。,
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,通常,パターン1,右,膝上,,
send,,沙夜,,,,,（あ……辰己さんと、酉助さん！）,
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,通常,パターン1,右,膝上,,
send,,,,,,,"沙夜は木材を運ぶ二人の姿を
見つけて駆け寄った。 ",
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,通常,パターン1,右,膝上,,
send,,沙夜,,,,,「辰己さ――」,
send,,辰己,怒,パターン1,中央,膝上,"「おい小僧。
ここには危ねえぞ、向こうで遊べ」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"辰己が走ってきた子どもの頭を
ぽんと撫でる。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,子ども,,,,,「お兄ちゃん、火消し？」,
send,,辰己,汗,パターン1,中央,膝上,「あ？」,
draw,,辰己,汗,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「辰己、
その態度はないんじゃない？
そうだよ、火消しだよ」",
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,通常,パターン1,右,膝上,,
send,,子ども,,,,,"「僕、大人になったら
火消しになりたい！」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"子どもが輝く眼差しを
辰己に向ける。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,子ども,,,,,"「どうしたらなれる？
お兄ちゃんはどうやって火消しに
なったの？」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,（あ……、この話題はあまり……）,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,,,,,,"沙夜は割って入ろうとしたが、
辰己は子どもの前にゆっくりと
しゃがみこんだ。",
send,,辰己,喜,パターン1,中央,腰上,"「いいか、火消しに大事なのは、
守るモンを持つことだ。
お前には守りたいモンはあるか？」",
draw,,辰己,喜,パターン1,中央,腰上,,
send,,子ども,,,,,"「守りたいもの……？
お兄ちゃんは？」",
send,,辰己,喜,パターン1,中央,腰上,「そりゃ、奥さんだろ」,
draw,,辰己,喜,パターン1,中央,腰上,,
send,,子ども,,,,,"「じゃあ僕は、
母さまと妹！」",
send,,辰己,喜,パターン1,中央,腰上,"「なら、まずはその二人を
自分の命をかけてでも守れ。
今はそれができたら、合格だ」",
draw,,辰己,喜,パターン1,中央,腰上,,
send,,子ども,,,,,"「うん！　わかった！　頑張る！
お兄ちゃん、ありがとう！」",
send,,辰己,喜,パターン1,中央,腰上,「気をつけて帰れよ」,
draw,,辰己,喜,パターン1,中央,膝上,,
send,,,,,,,"辰己は子どもの背中を見送った。
そして顔を上げた瞬間、
沙夜と目が合う。",
draw,,辰己,驚,パターン1,中央,膝上,,
send,,沙夜,,,,,（あ……）,
send,,辰己,照,パターン1,中央,膝上,「……立ち聞きかよ」,
draw,,辰己,照,パターン1,中央,膝上,,
send,,,,,,,"照れた辰己の口調に、
沙夜は自分の心が温まるのがわかる。",
draw,,辰己,照,パターン1,中央,膝上,,
send,,沙夜,,,,,"「ふふっ、すみません。
でも、いい話聞けちゃいました」",
send,,辰己,汗,パターン1,中央,膝上,「忘れろ」,
draw,,辰己,汗,パターン1,中央,膝上,,
send,,沙夜,,,,,「嫌です」,
draw,,辰己,汗,パターン1,中央,膝上,,
send,,,,,,,"笑いながら言う沙夜の肩を、
とんと叩いたのは酉助だった。",
draw,,辰己,照,パターン1,左,膝上,,
send,,酉助,呆,パターン1,右,膝上,"「君たちさ、
俺が居ること忘れてない？」",
draw,,辰己,照,パターン1,左,膝上,,
draw,,酉助,呆,パターン1,右,膝上,,
send,,沙夜,,,,,「あ、……すみません」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「すっかり君も、奥さんらしく
なったよね。前までは
か弱い娘さんって感じだったのに」",
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,喜,パターン1,右,膝上,,
send,,沙夜,,,,,「そ、そうですか……？」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「辰己からもよく聞いてるから、
久しぶりって感じはしないけど」",
draw,,酉助,喜,パターン1,右,膝上,,
send,,辰己,照,パターン1,左,膝上,「おい、酉助さん……！」,
draw,,辰己,照,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「お前ももうこのくらいのことで
照れるな。
さ、仕事を終わらせよう」",
draw,,辰己,照,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「沙夜ちゃんの美味しいご飯が
待ってるから」",
draw,,辰己,通常,パターン1,左,膝上,,
draw,,酉助,通常,パターン1,右,膝上,,
send,,,,,,,"酉助のその声に、二人はもう一度
木材を持ち上げた。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「じゃあ、私先に帰って
ご飯の支度しておきますから！」",
send,,辰己,喜,パターン1,中央,膝上,「ああ、楽しみにしてるぜ」,
draw,,辰己,喜,パターン1,中央,膝上,,
send,,,,,,,"辰己は振り返って、少しだけ
照れた笑顔で笑ってくれた。",
sceneEnd,,,,,,,,
