コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,love,,,,,,,
back,主人公の部屋,,,,,,,
fadeout,2,,,,,,,
send,,酉助,通常,パターン1,中央,膝上,「今日は2人だけでいようか？」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「…え？」,
send,,酉助,通常,パターン1,中央,膝上,「今日はずっと2人だけでいよう」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「でも、何も言わずに
泊まるのは…」",
send,,酉助,喜,パターン1,中央,膝上,"「気にしないで大丈夫。
ほら、こっちにおいで」",
draw,,酉助,喜,パターン1,中央,膝上,,
send,,,,,,,"座っている横を手で叩き、近くに
来るように言う。",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,,,,,,"沙夜はためらいながらも酉助の横へ
座った。",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,"「なんだか、いけないことしてる
みたいですね」",
send,,酉助,喜,パターン1,中央,腰上,「…今日、一緒に寝ようか」,
draw,,酉助,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,"「えっ!?そんな、
眠れなくなっちゃいます!!」",
send,,酉助,通常,パターン1,中央,腰上,「どうして？」,
draw,,酉助,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「…緊張します」,
send,,酉助,喜,パターン1,中央,腰上,"「じゃあ今から緊張解いていこう。
こうやって抱きしめてれば
慣れるでしょ？」",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,"「酉助さん、温かいです…
はっ!?そうじゃなくて…」",
send,,,,,,,"我に返った沙夜だが、酉助に唇を
塞がれてしまった。",
send,,沙夜,,,,,「んぅ…!!」,
send,,酉助,喜,パターン1,中央,腰上,"「可愛い。本当は俺、
ずっとこうして沙夜ちゃんに
触れたかったんだよ」",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,"「…私だって、酉助さんに触れて
いたいです」",
send,,酉助,通常,パターン1,中央,腰上,"「ごめん、今日は抑えられそうに
ない…」",
draw,,酉助,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「え？どういう…」,
send,,,,,,,"言葉を遮って沙夜の唇をふさぐと、
そのまま床へ押し倒した。",
send,,沙夜,,,,,「酉助さん!?」,
send,,酉助,通常,パターン1,中央,腰上,"「優しくしてあげれないかも
しれないけど、沙夜ちゃんの全部が
ほしいんだ」",
draw,,酉助,通常,パターン1,中央,腰上,,
send,,,,,,,"熱のこもった瞳でみつめられ、
沙夜はうなずくことしか
できなかった。",
back,黒,,,,,,"その夜、酉助の想いに沙夜は応え
2人は結ばれた。",
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,主人公の部屋（夜）,,,,,,,
bgmPlay,ED02,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"疲れ果て、眠ってしまった沙夜を
見つめていた酉助。",
send,,酉助,汗,パターン1,中央,腰上,"「無理させちゃったかな…。
ごめんね。でも、すごく
可愛かったよ」",
draw,,酉助,汗,パターン1,中央,腰上,,
send,,沙夜,,,,,「ん…」,
voice,yusuke_34,酉助,照,パターン1,中央,腰上,"「俺を好きになってくれたのが君で
よかった…」",
voice,yusuke_35,酉助,照,パターン1,中央,腰上,"「君の寝顔を見てるとこんなにも
幸せになれるんだ…」",
voice,yusuke_36,酉助,通常,パターン1,中央,腰上,"「自分がこんなに誰かを愛おしく
思う日が来るなんて、
想像もしてなかった」",
voice,yusuke_37,酉助,喜,パターン1,中央,腰上,"「たくさんのことに
気付かせてくれて、ありがとう」",
voice,yusuke_38,酉助,通常,パターン1,中央,腰上,「愛してる…」,
send,,,,,,,"沙夜を抱きしめ、酉助は眠りに
ついた。",
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,主人公の部屋,,,,,,,
bgmPlay,nichijou02,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,翌日,
send,,沙夜,,,,,「ふっ…朝…？」,
send,,沙夜,,,,,「ん？」,
send,,,,,,,"起き上がろうとした沙夜だが、
酉助に抱きしめられていることに
気付いた。",
send,,沙夜,,,,,「酉助さん…、朝ですよ」,
send,,沙夜,,,,,「起きてください」,
send,,酉助,通常,パターン1,中央,腰上,「もう、少しだけ…」,
send,,,,,,,"そういって抱きしめる腕に力が
こもった。",
send,,沙夜,,,,,「ふふ、今日だけですよ？」,
send,,沙夜,,,,,"（酉助さん、もしかして朝が苦手
なのかな？）",
send,,酉助,通常,パターン1,中央,腰上,"「沙夜ちゃん…ずっと、一緒に
いよう…」",
send,,酉助,通常,パターン1,中央,腰上,「…」,
send,,沙夜,,,,,"（寝言かな…？
酉助さん、ちょっとかわいいな）",
send,,,,,,,"酉助の寝顔を見ていた沙夜は、
つられるようにして再び眠りに
ついた。",
fadein,3,,,,,,,
back,主人公の部屋,,,,,,,
fadeout,3,,,,,,,
send,,酉助,喜,パターン1,中央,膝上,"「沙夜ちゃん？
朝だよ、起きて」",
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「ん…
あれ、寝ちゃった…？」",
