コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,主人公の部屋,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"詰所での生活が始まり、
沙夜のもとへは連日多くの
組員達が集まっていた。",
draw,,,,,,,,
send,,組員Ａ,,,,,"「なぁ沙夜ちゃん。
悪いんだが、この""ほつれ""を
直してくんねえか？」",
send,,沙夜,,,,,"「これくらいならすぐですよ！
任せてください！」",
send,,組員Ａ,,,,,「悪いな。助かるよ」,
send,,,,,,,"服のほつれを直していると、
他の組員が話しかけてきた。",
send,,組員Ｂ,,,,,"「沙夜ちゃん聞いてくれよ～。
昨日、女房と喧嘩しちまって…」",
send,,沙夜,,,,,"「それは大変でしたね。
でも、どうして喧嘩を？」",
send,,組員Ｂ,,,,,"「昨日は女房の誕生日だったんだ。
だってのに、
帰るのが朝になっちまって…」",
send,,組員Ｂ,,,,,"「あんまり怒るもんだから、
仕事だから仕方ないだろって
俺も怒っちまったんだ…」",
send,,沙夜,,,,,"「奥さんは寂しかったんじゃ
ないですか？」",
send,,沙夜,,,,,"「素直になれなかったんですよ。
本当は、喧嘩もしたくなかったと
思いますよ」",
send,,組員Ｂ,,,,,"「…今日は早く帰ることにするよ。
ちゃんと祝ってやらなきゃ！」",
send,,沙夜,,,,,"「それがいいと思います！
奥さんのためにも、
お仕事頑張ってください！」",
send,,組員Ｂ,,,,,"「話聞いてくれてありがとな！
俺は仕事に戻るよ！」",
send,,沙夜,,,,,「はい！楽しかったです！」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,             ,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"ふと入り口の方を見ると、
酉助が立っていた。",
draw,,,,,,,,
send,,酉助,喜,パターン1,中央,膝上,"「沙夜ちゃんの部屋には
いつも誰かがいて、楽しそうだね」",
draw,,,,,,,,
send,,沙夜,,,,,"「はい！みなさん優しくて、
とても楽しいです！」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,卯太郎,通常,パターン1,左,膝上,「酉助さん！」,
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,「ん？どうしたの？」,
draw,,酉助,通常,パターン1,右,膝上,,広間
send,,卯太郎,通常,パターン1,左,膝上,「源さんが広間に来てくれって」,
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「そう。ありがとう」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,卯太郎,呆,パターン1,左,膝上,"「辰己も呼ばれてるんだけど、
見つからないんだ」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,卯太郎,喜,パターン1,左,膝上,"「もし会ったら、酉助さんからも
伝えてもらえる？」",
draw,,卯太郎,喜,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「うん。わかった」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,卯太郎,通常,パターン1,左,膝上,「じゃあ、オレは仕事に行くから」,
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「よろしく頼んだよ」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,卯太郎,喜,パターン1,左,膝上,「任せてくれ！」,
fadein,1,,,,,,,
back,黒,,,,,,,
draw,,酉助,通常,パターン1,右,膝上,,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"その後、辰己と合流し、
二人は広間へと向かった。",
sceneEnd,,,,,,,,
