コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,kinpaku,,,,,,,
back,主人公の部屋（夜）,,,,,,,主人公の部屋（夜）
fadeout,1,,,,,,,
send,,,,,,,ある夜。,
send,,源七,,,,,「おい、出るぞ」,
send,,辰己,,,,,「卯太郎は？」,
send,,沙夜,,,,,(なんか……騒がしい？),
send,,酉助,,,,,「今支度してる」,
send,,,,,,,"沙夜は周囲の騒ぎに目を覚ました。
そしてその慌ただしさから、
すぐに火災があったと知る。 ",
send,,,,,,,沙夜は慌てて襖を開き、廊下へ出た。,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「辰己さん！  火災ですか！？」,
send,,辰己,通常,パターン1,中央,膝上,"「沙夜……ああ、そうだ。
俺たちはもう出るから、
ここで大人しくしておけ」",
choice,4,,,,,,私も行きます！,
choice,3,,,,,,わかりました,
choice,6,,,,,,私にできることはありますか,
fadein,1,,,,,,,
back,火事（夜）,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"沙夜は野次馬の間を縫って
火災現場の最前列に出た。",火事（夜）
send,,沙夜,,,,,(かなり大規模な火災……！),
send,,,,,,,"沙夜は網膜を焼くような火の強さに
目を細めた。",
send,,沙夜,,,,,"夜中だというのに昼間のような
明るさである。",
send,,,,,,,"(あ……
風向きが変わる気がする……！)",
send,,？？？,,,,,「……風の向きが変わるな……」,
send,,沙夜,,,,,(え……？),
send,,,,,,,"隣にふと現れた男が、口の中で
そう呟いた気がした。",
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"見上げたその男の瞳は
火が映っていないかのように暗く、",
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"沙夜は不思議と体が震えるのを
感じた。",
draw,,丙治,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,(この人……),
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"直感的に、
この男に対して良くない予感を抱く。",
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"男は背を翻し人混みの中へ
消えようとするが、",
send,,,,,,,沙夜はそれを追いかけた……。,
fadein,1,,,,,,,
back,焼け跡（夜）,,,,,,,
fadeout,1,,,,,,,
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"男はあの後、町の隅にある小さな
空き家で三人の男と面会した。",焼け跡（夜）
send,,沙夜,,,,,"(あの人が関わっている人たち……
土州の訛りだ……ってことは
反幕府派の人ってこと……？)",
send,,,,,,,"考え込んだ瞬間、背後から背中を
とんと叩かれる。",
send,,沙夜,,,,,(！！),
send,,？？？,,,,,「静かにしろ」,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,,,,,,"振り返るとそこには、人差指を
唇に当てた辰己の姿。
沙夜は小声で尋ねかける。",
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,"「辰己さん……？
どうしてここへ……？」",
send,,辰己,怒,パターン1,中央,膝上,"「お前が怪しい男をつけているのを
見たんだよ」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「火災はおさまったんですか？」,
send,,辰己,通常,パターン1,中央,膝上,「なんとかな。で、あいつは？」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"辰己の視線は、沙夜がつけてきた
怪しい男の背を貫いている。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「あの人風が読めるみたいで……」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"沙夜の言葉が途切れたのも無理は
なかった。",
send,,辰己,怒,パターン1,中央,膝上,「あいつ……！」,
send,,,,,,,"男が手に持っていた提灯から火種を
出したのを見た辰己が飛び出して
ゆく。",
send,,沙夜,,,,,「辰己さん……！」,
sceneEnd,,,,,,,,
send,私も行きます！,辰己,驚,パターン1,中央,膝上,"「お前な……買い物に行くんじゃ
ねえんだぞ」",
draw,,辰己,驚,パターン1,中央,膝上,,
send,,沙夜,,,,,「わかってます。だけど――」,
send,,辰己,怒,パターン1,中央,膝上,"「自分の身体を大事にしろ。
お前はここにいるんだ。いいな」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,"（……辰己さん……。きっと
辰己さんは私が行くのを許して
くれないよね……。",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,"(だけど辰己さんは私も同じように
辰己さんのことを心配してるって
ことをわかってない……！）",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「……はい、わかりました」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"（ごめんなさい、辰己さん。
嘘つきます……！）",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"辰己は沙夜の頭をぽんと
撫でて踵を返した。",
return,,,,,,,,
draw,わかりました,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「……わかりました」,
send,,辰己,喜,パターン1,中央,膝上,"「今日は随分とものわかりが
いいじゃねえか」",
draw,,辰己,喜,パターン1,中央,膝上,,
send,,,,,,,辰己は優しく笑ってくれる。,
draw,,辰己,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「だって……辰己さんの言葉が
本気だってわかるから……」",
send,,辰己,通常,パターン1,中央,膝上,"「よし。じゃあ行ってくるから、
良い子で待ってろ」",
send,,,,,,,"辰己は沙夜の頭を雑になでてから
背を向けて飛び出していった。",
send,,組員1,,,,,"「今回のはかなり大きい火事
らしいな……」",
send,,組員2,,,,,「消口までかなり近いらしい」,
send,,沙夜,,,,,"（えっ……！？　それって、
纏持ちの辰己さん、
危ないんじゃ……）",
send,,,,,,,"沙夜は先程下した自分の決意を
疑っていた……。",
return,,,,,,,,
draw,私にできることはありますか,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「あのっ！　何か、私にできる
ことはありますか……？」",
send,,辰己,通常,パターン1,中央,膝上,"「……お前はここで、
大人しくしてるだけでいいんだよ」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「でも……」,
send,,辰己,怒,パターン1,中央,膝上,"「いいか、お前は自分の身を
守ることだけを考えろ」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「……はい」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"（辰己さん……私のことを思って
くれてるのはわかるんだけど……）",
send,,辰己,喜,パターン1,中央,腰上,「必ず帰ってくる」,
draw,,辰己,喜,パターン1,中央,腰上,,
send,,,,,,,"辰己は安心させるように
沙夜の頬を両手で包んで頷いた。",
draw,,辰己,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,「……待ってますから」,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,,,,,,"炎が空を赤く照らしている。
それをみていると、どうしても
不安が募ってきて……。",
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,"（ごめんなさい、辰己さん。
私は自分の身よりも、辰己さんのを
気にしてしまうみたいです……）",
send,,,,,,,"沙夜は自分に背を向けて走っていく
辰己を見て心を固めていた。",
return,,,,,,,,
