コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,evening,,,,,,,
back,町並み,,,,,,,
fadeout,2,,,,,,,
draw,,丙治,通常,パターン1,中央,膝上,,
send,,,,,,,"現場へ向かっている途中、酉助は
思わぬ人を見かけた。",
send,,酉助,通常,パターン1,中央,膝上,「あれは...丙治さん?」,
fadein,2,,,,,,,
back,広間（夜）,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"詰所へ帰り、源七へ仕事の報告を
をするついでに昼間の話をした。",
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「そういえば源さん、昼間、
丙治さんを見かけたんだ」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,"「なに、丙治を?
あいつここからいなくなって
行方不明だったよな?」",
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「声はかけれなかったけど、確かに
あれは丙治さんだった」",
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,汗,パターン1,右,膝上,"「雰囲気が変わってて、俺の
知ってる彼じゃなかったな...」",
draw,,酉助,汗,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,「火災で家族を亡くしてるからな...」,
draw,,酉助,汗,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,"「しかし、[め組]に戻ってきて
ほしいもんだな」",
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,哀,パターン1,右,膝上,"「たぶん戻ってこないよ。
そんな感じかする...」",
draw,,酉助,哀,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,"「おまえが落ち込むこと
ないだろう。丙治にもなにか
理由があるんだ」",
draw,,酉助,哀,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,"「そっとしておいてやろう。
戻りたくなったら自分から
戻ってくるだろうし」",
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「そうだね。じゃあ俺は部屋に
戻る」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,源七,喜,パターン1,左,膝上,「おう、お疲れ」,
fadein,2,,,,,,,
bgmStop,,,,,,,,
back,庭（夜）,,,,,,,
bgmPlay,kanashimi,,,,,,,
fadeout,2,,,,,,,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"源七に報告をし終え、部屋に戻る
途中。",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"丙治のことを考えていると、沙夜が
やってきた。",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「酉助さん、ここにいたんですね」,
send,,酉助,通常,パターン1,中央,膝上,「沙夜ちゃん」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「あの、夕食摂ってませんよね?」,
send,,酉助,通常,パターン1,中央,膝上,「そういえば食べてないな...」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「夕食のときに姿みえなかったので
気になって…あの、良かったら
これどうぞ」",
send,,酉助,喜,パターン1,中央,膝上,「ありがとう...」,
draw,,酉助,喜,パターン1,中央,膝上,,
