コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,広間,,,,,,
bgmPlay,nichijou01,,,,,,
fadeout,5,,,,,,
send,,,,,,,"穏やかな時間がながれていた
ある日、詰所内である噂が
囁やかれていた。"
send,,組員A,,,,,「なあ、聞いたか?」
send,,組員B,,,,,"「あぁ…。
近頃、放火事件が立て続けに
起きてるらしいな」"
send,,組員A,,,,,"「いずれは、[め組]の管轄内でも
放火事件が起きちまうのかね…」"
send,,,,,,,"近頃、江戸の各所で放火事件が
立て続けに起こっている。"
send,,,,,,,"そのため町火消たちは今まで以上に
火事に対して気を張っていた。"
bgmStop,,,,,,,
bgmPlay,serious01,,,,,,
draw,,源七,通常,パターン1,右,膝上,
send,,酉助,哀,パターン1,左,膝上,"「近頃、放火が多いようですね…。
[や組]の管轄内でも増えていると
寅之助から聞きました」"
draw,,酉助,哀,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「[や組]の頭領も頭抱えてたな。
こうも放火事件が続いちまうと、
町の者も不安になるだろうしよ」"
draw,,源七,通常,パターン1,右,膝上,
send,,酉助,通常,パターン1,左,膝上,"「なあ源さん。
その放火事件のことなんだけど、
俺に調べさせてくれないか？」"
draw,,酉助,通常,パターン1,左,膝上, 
send,,源七,通常,パターン1,右,膝上,"「酉助。
わざわざ事件に関わろうとしなくて
いいんだぞ」"
draw,,酉助,通常,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「俺の後を継ぐのはおまえくらい
しかいねんだ。
なにかあったらどうすんだ」"
draw,,源七,通常,パターン1,右,膝上,
send,,酉助,喜,パターン1,左,膝上,"「辰己だって、そろそろこの組を
任せられる歳ですよ」"
draw,,酉助,通常,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「確かにそうだけどよ。あいつを
纏持ちから外すわけにはいかねえ」"
draw,,酉助,通常,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「なんてったって、[め組]一番の
男気あるやつだからな！」"
draw,,源七,通常,パターン1,右,膝上,
send,,酉助,通常,パターン1,左,膝上,「……」
fadein,5,,,,,,
fadeout,5,,,,,,
draw,,辰己,通常,パターン1,左,膝上,
send,,,,,,,"廊下で息を潜めていた辰己は、
源七と酉助の会話を聞いていた。"
draw,,辰己,通常,パターン1,左,膝上,
draw,,酉助,哀,パターン1,右,膝上,
send,,,,,,,すると、酉助が廊下へ出てきた。
draw,,酉助,哀,パターン1,右,膝上,
send,,辰己,驚,パターン1,左,膝上,「ゆ、酉助さん!?」
draw,,辰己,驚,パターン1,左,膝上,
send,,酉助,怒,パターン1,右,膝上,"「あぁ、辰己か…。
盗み聞きは関心しないね」"
draw,,酉助,怒,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「盗み聞きなんかじゃねえ!!
たまたま通りかかったんだ！」"
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,汗,パターン1,右,膝上,"「何もそんなに必死に
弁解しなくても…」"
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,"「それより、酉助さんは犯人を追う
つもりなのか？」"
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,「どうして？」
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,"「事件のこと調べさせてほしいって
源さんに…」"
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,呆,パターン1,右,膝上,「やっぱり聞いてたんじゃないか」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,「まあいいか」
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,汗,パターン1,左,膝上,"「すまねえ…。
わりいとは思ったんだけど…」"
draw,,辰己,汗,パターン1,左,膝上,
send,,酉助,喜,パターン1,右,膝上,「気にすることないよ」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,哀,パターン1,右,膝上,"辰己、俺はおまえを信頼してるから
話しておく」"
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,"「この事件、[め組]と関係が
あるやつの仕業かもしれない…」"
draw,,酉助,通常,パターン1,右,膝上, 
send,,辰己,驚,パターン1,左,膝上,「！？」
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「待ってくれよ。
それってどういうことだよ!!」"
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「この中に犯人がいるって
言いてえのか!?」"
draw,,辰己,怒,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,「そう決まったわけじゃない」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,「ただ…」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,怒,パターン1,右,膝上,「犯人が誰だろうと情を持つな」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,怒,パターン1,右,膝上,"「たとえ、源さんや俺が
犯人だとしてもだ」"
send,,,,,,,"そう言い残し、
酉助は自室へと戻ってしまった。"
send,,,,,,,"酉助の一言に驚き、辰己はしばらく
その場に立ち尽くすことしか
できなかった。"
send,,,,,,,"部屋に戻ろうとしていたとき、
火災を知らせる鐘が鳴った。"
bgmStop,,,,,,,
bgmPlay,kinpaku02,,,,,,
back,火事(夜),,,,,,
send,,組員A,,パターン1,,膝上,"「火事だー!!
急ぎ消火活動を行えー!!」"
send,,源七,通常,パターン1,右,膝上,"「おめえら！
 [め組]の誇りにかけて、
すぐに出動だ！」"
send,,源七,通常,パターン1,右,膝上,"「辰己!!今日は風がねえ。
急いで纏を掲げろ！」"
send,,辰己,喜,パターン1,左,膝上,「おう、任せろ!!」
send,,源七,通常,パターン1,右,膝上,「沙夜！避難誘導を頼む！」
send,,沙夜,,,,,「わかりました！」
send,,源七,通常,パターン1,右,膝上,"「くっそ…
こうも風がねえと、判断が鈍るな」"
send,,,,,,,"風がないなかでの消火活動は、
破壊する家屋の選択の判断が
難しくなる。"
send,,,,,,,"しかし沙夜には、間もなく西方から
風が吹くことがわかっていた。"
send,,沙夜,,,,,"「源七さん!!
この後、西方から風が吹きます！」"
send,,源七,通常,パターン1,右,膝上,"「何だと…？そうかおまえ、
風が読めるんだったな」"
send,,源七,通常,パターン1,右,膝上,「よし、おめえら！東へ進め!!」
send,,,,,,,"炎が燃え上がる中、火元の方を
じっと見ている男がいた。"
draw,,一午,通常,パターン2,中央,膝上,
send,,沙夜,,,,,"「ここは危険です!!
すぐに避難してください!!」"
draw,,一午,通常,パターン2,中央,膝上,
send,,???,,パターン2,,,"「…俺に構うな。
おまえこそ早くここから離れた方が
いいのではないか？」"
draw,,一午,通常,パターン2,中央,膝上,
send,,沙夜,,,,,"「私には、みなさんを避難させる
勤めがあります」"
draw,,一午,驚,パターン2,中央,膝上,
send,,???,,,,,「…!?」
draw,,一午,驚,パターン2,中央,膝上,
send,,???,,,,,"「なぜ女のおまえが
消火活動に参加している？」"
draw,,一午,通常,パターン2,中央,膝上,
send,,,,,,,"「それは…
今は関係ないことです！」"
draw,,一午,通常,パターン2,中央,膝上,
send,,,,,,,「それよりも、早く避難を!!」
draw,,一午,通常,パターン2,中央,膝上,
send,,???,,,,,「俺に構うなと言っただろう！」
draw,,一午,汗,パターン2,中央,膝上,
send,,???,,,,,"「くっ…
犯人を見失った…」"
send,,,,,,,"そういうと、怪しげな男は
走り去ってしまった。"
send,,沙夜,,,,,"「犯人…？
あの人は一体……」"
send,,,,,,,"気がかりは残ったものの、
消火活動は無事に終わった。"
fadein,5,,,,,,
bgmStop,,,,,,,
sceneEnd,,,,,,,
