コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,町並み,,,,,,
bgmPlay,kinpaku02,,,,,,
fadeout,1,,,,,,
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"しばらく歩いていると、なにやら
町人同士がもめているのが伺えた。"
send,,呉服屋,,,,,「てめえ、いい加減にしやがれ！」
send,,,,,,,"怒鳴り声とともに、
扉の壊れる音が町中に響いた。"
send,,八百屋,,,,,"「いってえな!!
てめえよくも殴りやがったな！」"
send,,呉服屋,,,,,"「てめえが余計なことばかり
ぬかしやがるからだろうが!!」"
send,,八百屋,,,,,"「んだと!!
てめえの頭は腐ってんのか!?」"
send,,呉服屋,,,,,"「腐ってんのはそっちだろ!!
馬鹿も休み休み言え!!」"
send,,,,,,,"ふたりの熱は上がり、
言い合いから殴り合いへと
変わってしまっている。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"その光景を目にした辰己は
静かにふたりに近づいていった。"
send,,辰己,怒,パターン1,中央,膝上,「おい、なにしてんだ！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"しかし、辰己の声は届かず、
争いはますます激しくなっていく。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"だんだんと、辰己の表情が
曇っていくのが沙夜にはわかった。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"（辰己さんを巻き込んでしまったら
[め組]の評判が…!!）"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,（ここは私が止めるしかない！）
send,,,,,,,"沙夜は辰己より先に、
ふたりの間に割って入った。"
send,,沙夜,,,,,"「喧嘩はやめてください!!
子供たちも驚いてます!!」"
send,,八百屋,,,,,「んだてめえ!!」
send,,呉服屋,,,,,「女は黙ってやがれ!!」
send,,沙夜,,,,,"「理由はともかく、
みなさんが見ている前で喧嘩は
やめてください!!」"
send,,沙夜,,,,,「みっともないです!!!!」
send,,,,,,,"その言葉に続くように、
喧嘩している男の奥さんが
駆けつけてきた。"
send,,呉服屋の奥さん,,,,,"「そうよ、あんた！
お嬢さんの言う通りよ」"
send,,呉服屋の奥さん,,,,,"「大勢の前でみっともない！
恥を知りなさいな!!」"
send,,,,,,,"ふたりは奥さんに連れられ、
家に帰っていった。"
send,,,,,,,"緊張の解けた沙夜は
その場へ座り込んでしまった。"
send,,辰己,驚,パターン1,中央,膝上,"「おい!!
おまえ大丈夫か!?」"
draw,,辰己,驚,パターン1,中央,膝上,
send,,沙夜,,,,,「は、はい…」
draw,,辰己,驚,パターン1,中央,膝上,
send,,沙夜,,,,,「怖かったぁ…」
send,,辰己,怒,パターン1,中央,膝上,"「おまえは馬鹿か！
男の喧嘩に入って何考えてんだ！」"
send,,辰己,怒,パターン1,中央,膝上,"「おまえが殴られたりしたら
大変なことになるだろうが!!」"
draw,,辰己,怒,パターン1,中央,膝上,
send,,沙夜,,,,,"「すみません…。
辰己さんが止めに行って、
何かあったらと思い…。つい…」"
send,,辰己,怒,パターン1,中央,膝上,"「俺は男だから殴られてもいいが、
おまえは女なんだぞ!?」"
send,,辰己,怒,パターン1,中央,膝上,「もう少し自分を大切にしろ！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「は、はい…」
send,,辰己,汗,パターン1,中央,膝上,「でも、おまえの度胸だけは…」
send,,辰己,汗,パターン1,中央,膝上,「認めてやる…」
draw,,辰己,汗,パターン1,中央,膝上,
send,,沙夜,,,,,「え？辰己さん…？」
send,,辰己,怒,パターン1,中央,膝上,"「んだよ、そんな目で
こっち見てんじゃねえよ！」"
send,,辰己,照,パターン1,中央,膝上,「さっさと帰んぞ」
draw,,辰己,照,パターン1,中央,膝上,
send,,沙夜,,,,,「はい!!」
send,,,,,,,"度胸を認めてもらえたことが
嬉しくて、沙夜は笑顔で辰己の後を
追いかけた。
"
fadein,1,,,,,,
bgmStop,,,,,,,
sceneEnd,minigame,,,,,,
