コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,黒,,,,,,
fadein,1,,,,,,
back,玄関（め組）,,,,,,
bgmPlay,nichijou01,,,,,,
fadeout,1,,,,,,
send,,,,,,,"ある日の早朝、目が覚めた沙夜は
朝食を作りに台所へ向かっていた。"
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"すると、辰己がひとりでどこかへ
出かける姿を目撃した。"
send,,沙夜,,,,,「辰己さん…？」
send,,,,,,,"大して気にもせず、沙夜は
朝食の準備に取りかかった。"
send,,,,,,,"しかし、辰己は朝食の時間に現れず
みなが現場に出ているときに
帰ってきた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「あ、辰己さん。お帰りなさい！」
send,,辰己,哀,パターン1,中央,膝上,"「おう…。
今日は非番で部屋にいるから
なんかあったら呼んでくれ」"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「わかりました…」
send,,沙夜,,,,,"（なんだか元気ないな…。
どうしたんだろう？）"
fadein,1,,,,,,
back,広間（夜）,,,,,,
bgmPlay,serious02,,,,,,
fadeout,1,,,,,,
send,,,,,,,その日の夜。
send,,,,,,,"広間には[め組]の組員が
集まっていた。"
send,,源七,通常,パターン1,中央,膝上,"「最近、放火事件が増えてきた。
これからもっと、火災現場に
出ることが増えると思う」"
send,,源七,通常,パターン1,中央,膝上,「そこで、おめえらに頼みがある」
send,,源七,通常,パターン1,中央,膝上,"「いいか!!
俺らの仕事は町人を守ること。
火を必ず消すことだ」"
send,,源七,怒,パターン1,中央,膝上," 「ひとりの気が緩んでたら、
俺らの仕事は全うできねえ」"
send,,源七,怒,パターン1,中央,膝上,"「放火犯が捕まるまで、
決して気を抜くんじゃねぇ！」"
send,,組員たち,,,,,「「おお!!!!」」
send,,,,,,,"源七の見事な喝で、
気を引き締めた[め組]。"
fadeout,1,,,,,,
send,,,,,,,"未だに元気がない辰己を
心配した沙夜は辰己の部屋を
訪れることにした。"
send,,沙夜,,,,,「辰己さんいらっしゃいますか？」
send,,???,,,,,「その声は…」
send,,卯太郎,喜,パターン1,中央,膝上,"「沙夜だ!!どうしたんだ？
辰己なら風呂に行ってるぞ」"
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「お風呂ですか…。
えっと、これを辰己さんに
渡してもらえますか？」"
send,,卯太郎,通常,パターン1,中央,膝上,"「なになに!?
ちょっと温かい…」"
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,," 「夕食もあまり召し上がって
いなかったので、おにぎりを…」"
send,,卯太郎,喜,パターン1,中央,膝上,「いいなぁ～辰己」
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「え？」
send,,卯太郎,通常,パターン1,中央,膝上,"「沙夜に心配されて、
夜食まで持ってきてもらって」"
send,,卯太郎,通常,パターン1,中央,膝上,「ねえ、もしかして沙夜…」
send,,卯太郎,通常,パターン1,中央,膝上,「辰己のこと好きになった？」
choice,6,,,,,,違います
choice,3,,,,,,そうかもしれない
choice,4,,,,,,何も言わない
send,,,,,,,"卯太郎に思いもよらぬことを言われ
赤面してしまった沙夜は、
自分の部屋に逃げた。"
bgmStop,,,,,,,
sceneEnd,,,,,,,
draw,違います,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「そんなことないですよ！！」
send,,卯太郎,汗,パターン1,中央,膝上,「そんなに焦らなくてもいいのに」
draw,,卯太郎,汗,パターン1,中央,膝上,
send,,沙夜,,,,,「心配してるだけです!!」
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,, 「し、失礼します!!」 
return,,,,,,,
draw,そうかもしれない,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「そうかもしれないです…」
send,,卯太郎,喜,パターン1,中央,膝上,「うんうん、そうだよね」
send,,卯太郎,驚,パターン1,中央,膝上,「って、え、嘘でしょ!?」
draw,,卯太郎,驚,,,,
send,,沙夜,,,,,"「え、あ、今のは辰己さんには
言わないでくださいね!!」"
draw,,卯太郎,驚,パターン1,中央,膝上,
send,,沙夜,,,,, 「失礼します!!」
return,,,,,,,
draw,何も言わない,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…」
send,,卯太郎,哀,パターン1,中央,膝上,「沙夜？」
send,,卯太郎,通常,パターン1,中央,膝上,「そんなに考え込まないでいいよ」
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「え、あ、すみません…」
send,,卯太郎,喜,パターン1,中央,膝上,"「とりあえず、これはちゃんと
辰己に渡しておくからよ!!」"
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「はい、お願いします」
draw,,卯太郎,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「失礼します」
return,,,,,,,
