コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
back,黒,,,,,,,,,
fadeout,1,,,,,,,,,
send,,,,,,,"想いが通じたのも束の間、再び
火災が発生。",黒,,
send,,,,,,,"今回は複数箇所から発火し、犯人は
明暦の大火以来の大火災を
引き起こそうとしていた。",黒,,
back,町,,,,,,,,,
send,,,,,,,"炎上を食い止めるため、そして
犯人を止めるためにめ組は出動
する。",町,,
send,,辰己,怒,パターン1,中央,膝上,"「あいつの身勝手な理由で江戸を
火の海にしてたまるか！！」",町,,
send,,,,,,,意気込む辰己。,町,,
send,,,,,,,"この日の放火も風が無い時を狙って
行われたものであった。",町,,
send,,,,,,,"しかし沙夜は東の方角から強い風が
吹くと予測。",町,,
send,,,,,,,め組は消火に当たる。,町,,
send,,,,,,,"以前の火災で沙夜の能力を知った
犯人は彼女を邪魔に思い誘拐、
空き家に監禁する。",黒,,
send,,,,,,,"それに気づいた辰己が取る
行動は――。",黒,,
sceneEnd,,,,,,,,,,
