コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
back,町,,,,,,,,,
fadeout,1,,,,,,,,,
send,,,,,,,2人の想いが通じる。,黒,,
send,,,,,,,"犯人と対峙してから考えこむことが
多くなった辰己。",町,,
send,,,,,,,元気のない彼を心配する沙夜。,町,,
send,,,,,,,"自分は火消として、纏持ちとしての
役目を放棄できない。",町,,
send,,,,,,,"それは主人公に何かあった時に
助けに行くことができない
ということ。",町,,
send,,,,,,,"そして自分も炎に倒れるかも
しれない。",町,,
send,,,,,,,"自分は常に火消としての役目を
全うする。",町,,
send,,,,,,,"それでも傍にいてほしいと告げる
辰己。",町,,
send,,辰己,通常,パターン1,中央,膝上,「自分勝手なのはわかってる。」,白,,
send,,辰己,通常,パターン1,中央,膝上,"「でも仕方ねぇだろ？
お前に惚れてんだ」",白,,
sceneEnd,,,,,,,,,,
