コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,evening,,,,,,,
back,庭（昼）,,,,,,"何を言っても反発してくる辰己の
態度に耐え切れず、その場を立ち
去ってしまった。",
fadeout,1,,,,,,,
send,,沙夜,,,,,"(どうしてあんな言い方しかでき
ないんだろう...)",
choice,3,,,,,,私のことが気になる...,
choice,4,,,,,,おとぎ話が嫌いなのかな?,
choice,6,,,,,,私のことが気に食わないのかな,
send,,沙夜,,,,,"(やっぱり私がめ組にいることが
気に食わないのかな...)",
fadein,1,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,1,,,,,,,
bgmstop,,,,,,,,
bgmplay,nichijou02,,,,,,,
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「辰己、さすがに沙夜にきつすぎる
ぞ。」",
draw,,卯太郎,怒,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,"「俺の知ったことじゃねえよ。
認めてほしいなら、それなりの姿を
見せろってんだ」",
draw,,辰己,怒,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「辰己は沙夜のことちゃんと知ろう
としてるのか?」",
draw,,卯太郎,怒,パターン1,右,膝上,,
send,,辰己,汗,パターン1,左,膝上,「あ?どういうことだ?」,
draw,,辰己,汗,パターン1,左,膝上,,
send,,卯太郎,通常,パターン1,右,膝上,"「沙夜は毎日オレらのために洗濯
したり飯作ったり、世話してくれてる」",
draw,,辰己,汗,パターン1,左,膝上,,
send,,卯太郎,通常,パターン1,右,膝上,"「そのおかげでオレたちが
助かってるのは事実だろ？」",
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,"「そのためにあいつはここに
いるんだろ。」",
draw,,卯太郎,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「それが世話役として当たり前の
仕事だ」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,呆,パターン1,右,膝上,「はあ......」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「他人のことをちゃんと知ろうと
しないで勝手に物事言うのは
駄目だ!男として!」",
draw,,卯太郎,怒,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,"「はあ?
何が言いてえんだよ」",
draw,,辰己,怒,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「自分で考えてくださいー!」
",
draw,,辰己,驚,パターン1,左,膝上,,
send,,卯太郎,怒,パターン1,右,膝上,"「オレ、源さんにお遣い頼まれてる
からこれ以上は相手できません。
じゃあな!!」",
send,,辰己,驚,パターン1,中央,膝上,「あ、おいっ!」,
send,,辰己,汗,パターン1,中央,膝上,「卯太郎のやつ...」,
send,,辰己,呆,パターン1,中央,膝上,「他人のことを知ろうとする、か...」,
fadein,1,,,,,,,
back,黒,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,"詰所で再開してからというもの、
衝突ばかりのふたり。",
send,,,,,,,"卯太郎や源七をはじめとする火消
たちがそんな関係を心配していた。",
fadein,1,,,,,,,
back,広間（夜）,,,,,,,
fadeout,1,,,,,,,
bgmstop,,,,,,,,
bgmplay,evening,,,,,,,
send,,,,,,,その日の夜。,
send,,,,,,,酉助の元を訪れた辰己。,
send,,,,,,,辰己はある相談事をしに来ていた。,
send,,酉助,通常,パターン1,右,膝上,"「どうしたの?
そんなに暗い顔して」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,"「・・・俺は短気だし、思ってることも
すぐ口にしちまう」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,汗,パターン1,左,膝上,"「それは性分だ。今更どうにも
できねぇ」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,"「ただ、あいつには少し言い過ぎた
と思ってる・・・」",
draw,,辰己,呆,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,「“火消に女はいらねえ”って言葉?」,
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「あぁ。
壬さんには世話になったし、感謝
してもしきれねえと思ってる」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「壬さんには恩がある。それに
最近のあいつは・・・よくやってると
思う」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「壬さんの娘だけあって、根性は
あるみてぇだしな」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,"「だから、あいつを認めてもいいと
思いはじめてる」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,汗,パターン1,左,膝上,"「でも、自分があいつに言った言葉
を今更なしにはできねえし...」",
draw,,辰己,汗,パターン1,左,膝上,,
send,,酉助,通常,パターン1,右,膝上,"「辰己はあの言葉を取り消したいっ
てこと?」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,"「...わからねえ。
けど、俺はあいつが頑張って仕事
してんのは知ってる」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,"「でも、め組に...
火災の現場にあいつが出てきて
ほしくない」",
draw,,辰己,哀,パターン1,左,膝上,,
send,,酉助,哀,パターン1,右,膝上,「それは...」,
draw,,酉助,哀,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,"「火事でまわりのやつが傷つくのを
みたくねえんだ...」",
draw,,酉助,哀,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,"「両親がいねえ俺にとって、
壬さんは本当の親父のような
存在だったんだ」",
draw,,酉助,哀,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,"「でも、壬さんが亡くなって...。
これ以上大切だと思う人を
失いたくない...」",
draw,,辰己,哀,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「辰己は優しいね。
沙夜ちゃんもきっとわかってくれる
と思うよ」",
draw,,酉助,喜,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,「......」,
draw,,辰己,哀,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「そんなに気負うなよ。
まだこれからお互い認め合えるかも
しれないし」",
draw,,酉助,喜,パターン1,右,膝上,,
send,,辰己,呆,パターン1,左,膝上,「そう、だな...」,
draw,,酉助,呆,パターン1,右,膝上,,
send,,辰己,哀,パターン1,左,膝上,"「けど、なんなんだろうな、
この気持ち...」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,辰己,汗,パターン1,左,膝上,「すげえ落ち着かねえんだ...」,
draw,,辰己,汗,パターン1,左,膝上,,
send,,酉助,汗,パターン1,右,膝上,「それはたぶんだけど...」,
draw,,辰己,汗,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「あ、やっぱり内緒」,
draw,,酉助,喜,パターン1,右,膝上,,
send,,辰己,驚,パターン1,左,膝上,"「はあ!?
そんなこと言われたら余計気になる
じゃねえかよ...」",
draw,,辰己,驚,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「知りたかったらもっと沙夜ちゃん
と距離を縮めてみたら?」",
draw,,辰己,汗,パターン1,左,膝上,,
draw,,酉助,喜,パターン1,右,膝上,,
send,,,,,,,"楽しそうに笑う酉助と落ち着かない
様子の辰己。",
draw,,辰己,汗,パターン1,中央,膝上,,
send,,,,,,,"酉助に言われたことを整理し、考え
てみたものの、辰己には理解するこ
とができなかった。",
send,,辰己,呆,パターン1,中央,膝上,「酉助さんには敵わねえや...」,
send,,辰己,通常,パターン1,中央,膝上,「わりいな、遅くまで」,
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,"「気にするな、話聞くくらいしかで
きないからね。」",
draw,,辰己,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「また来な」,
draw,,酉助,喜,パターン1,右,膝上,,
send,,辰己,喜,パターン1,左,膝上,「おう、ありがとよ」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"沙夜に対しての思いを酉助に話し
終えると、辰己は部屋に
戻っていった。",
send,,酉助,喜,パターン1,中央,膝上,「これは良い変化、かな」,
draw,,酉助,喜,パターン1,中央,膝上,,
send,,,,,,,"酉助のつぶやきが辰己に聞こえる
ことはなかった。",
sceneEnd,,,,,,,,
send,私のことが気になる...,沙夜,,,,,(いや、そんなことあり得ない。),
send,,沙夜,,,,,"(私ったらなんてことを考えてる
のよ...)",
return,,,,,,,,
send,おとぎ話が嫌いなのかな?,沙夜,,,,,"(男の人って作り話とかおとぎ話は
嫌いなのかしら...)",
return,,,,,,,,
send,私のことが気に食わないのかな,沙夜,,,,,"（そんなに私のことが気に入らないの
かな・・・？）",
return,,,,,,,,
