コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
send,,村人A,通常,制服,中央,膝上,テキストテキストテキストテキストテキスト,部屋,,
send,,村人B,通常,私服,中央,膝上,story03,部屋,,
send,,,,,,,テキスト3,,,
send,,,,,,,テキスト4,,,
send,,村人A,通常,制服,中央,膝上,テキスト5,部屋,,
draw,,村人B,通常,制服,左,腰上,テキスト6,部屋,,
send,,村人A,通常,制服,右,腰上,テキスト7,部屋,,
send,,村人A,通常,私服,中央,膝上,テキスト8,部屋,,
choice,2,,,,,,甘味屋へ,,,
choice,1,,,,,,選択肢2,,,
choice,0,,,,,,選択肢3,,,
send,,村人A,通常,制服,中央,膝上,テキスト12,,,
send,,村人A,通常,制服,中央,膝上,テキスト13,,,
send,,村人A,喜,私服,中央,膝上,テキスト14,,,
send,,村人A,怒,私服,中央,膝上,テキスト15,,,
send,,村人A,哀,私服,中央,膝上,テキスト16,,,
send,,村人A,楽,制服,中央,膝上,テキスト17,,,
send,,,,,,,テキスト18,,,
send,,,,,,,テキスト19,,,
send,,,,,,,テキスト20,,,
send,,,,,,,テキスト21,,,
send,,,,,,,テキスト22,,,
send,,,,,,,テキスト23,,,
send,,,,,,,テキスト24,,,
send,,,,,,,テキスト25,,,
send,,,,,,,テキスト26,,,
send,,,,,,,テキスト27,,,
send,,,,,,,テキスト28,,,
send,,,,,,,テキスト29,,,
sceneEnd,,,,,,,,,,
send,甘味屋へ,村人A,通常,制服,中央,膝上,選択肢1のテキスト1,,,
send,,村人A,通常,制服,中央,膝上,選択肢1のテキスト2,,,
send,,村人A,通常,制服,中央,膝上,選択肢1のテキスト3,,,
send,,村人A,通常,制服,中央,膝上,選択肢1のテキスト4,,,
return,,,,,,,,,,
send,選択肢2,村人A,通常,制服,中央,膝上,選択肢2のテキスト1,,,
return,,,,,,,,,,
send,選択肢3,村人A,喜,制服,中央,腰上,選択肢3のテキスト1,,,
return,,,,,,,,,,
